#ProductContainer,user,name,number,sharedTeamName,containerExtendable,description,view,variation1,variation2,source,defaultUnit,type,containerTemplate,organizationName,organizationID
ProductContainer,orgadmin,SWX,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,CYG,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SCK,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZQY,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,HNC,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,XDL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,XLV,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,FKC,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SYX,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SDQ,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,NSS,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SHW,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,YZX,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,BKL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SFD,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GZQ,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,CFT,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZJH,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,NJL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SDL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,HJL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,TJN,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,JHA,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,MUC,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SQE,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,FTC,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,FSE,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,XLM,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GBD,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,CAC,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,FSA,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,FMA,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,INV,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SOL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,PAR,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZBB,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GER,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,CNM,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GMS,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GEM,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,QGJ,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GXB,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,TCT,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GDR,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,EAB,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,COG,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,HAB,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,HDJ,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SHP,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,TSL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ALF,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,GHE,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZLY,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,SKL,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,QHR,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZXT,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,AOE,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZZT,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ZZG,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,PLD,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,eCar,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,eBus,,,,,,,,,,,CATL Product 1.0,CATL,
ProductContainer,orgadmin,ESS,,,,,,,,,,,CATL Product 1.0,CATL,
